Date,StockCode,ProductName,DailyDemand,Year,Month,Day,DayOfWeek,WeekOfYear,Quarter,DayOfYear,IsWeekend,IsMonthStart,IsMonthEnd,Month_sin,Month_cos,DayOfWeek_sin,DayOfWeek_cos,Demand_Lag_1,Demand_Lag_2,Demand_Lag_3,Demand_Lag_7,Demand_Lag_14,Demand_Lag_30,Demand_RollingMean_7,Demand_RollingStd_7,Demand_RollingMean_14,Demand_RollingStd_14,Demand_RollingMean_30,Demand_RollingStd_30
2010-12-01,85123A,WHITE HANGING HEART T-LIGHT HOLDER,0.14161849710982657,2010,0.9999999999999999,0.0,0.3333333333333333,0.9215686274509803,1.0,0.9175824175824177,0,1,0,-2.4492935982947064e-16,1.0,0.9749279121818236,-0.22252093395631434,0.0,0.0,0.0,0.0,0.0,0.0,0.765625,0.0,1.0000000000000002,0.0,1.0,0.0
2010-12-02,85123A,WHITE HANGING HEART T-LIGHT HOLDER,0.09922928709055875,2010,0.9999999999999999,0.03333333333333333,0.5,0.9215686274509803,1.0,0.9203296703296704,0,0,0,-2.4492935982947064e-16,1.0,0.43388373911755823,-0.900968867902419,0.14161849710982657,0.0,0.0,0.0,0.0,0.0,0.6510416666666666,0.08016653826877655,0.8477006757870448,0.11380497811556539,0.8365662401981017,0.1618022211490579
2010-12-03,85123A,WHITE HANGING HEART T-LIGHT HOLDER,0.006422607578676943,2010,0.9999999999999999,0.06666666666666668,0.6666666666666666,0.9215686274509803,1.0,0.9230769230769231,0,0,0,-2.4492935982947064e-16,1.0,-0.433883739117558,-0.9009688679024191,0.09922928709055875,0.14161849710982657,0.0,0.0,0.0,0.0,0.44560185185185186,0.18493802134087103,0.5746387561123016,0.26253930787019125,0.543541064795708,0.3732652460000188
2010-12-04,85123A,WHITE HANGING HEART T-LIGHT HOLDER,0.0,2010,0.9999999999999999,0.1,0.8333333333333333,0.9215686274509803,1.0,0.9258241758241759,1,0,0,-2.4492935982947064e-16,1.0,-0.9749279121818236,-0.2225209339563146,0.006422607578676943,0.09922928709055875,0.14161849710982657,0.0,0.0,0.0,0.3342013888888889,0.18695071999801455,0.4265699686830394,0.26539654895326614,0.3846471316549732,0.37732752834702127
2010-12-05,85123A,WHITE HANGING HEART T-LIGHT HOLDER,0.06358381502890173,2010,0.9999999999999999,0.13333333333333333,1.0,0.9215686274509803,1.0,0.9285714285714286,1,0,0,-2.4492935982947064e-16,1.0,-0.7818314824680299,0.6234898018587334,0.0,0.006422607578676943,0.09922928709055875,0.0,0.0,0.0,0.3361111111111111,0.16191785494129105,0.42910829075325535,0.22985971873117458,0.38737102765167153,0.32680304200431926
2010-12-06,85123A,WHITE HANGING HEART T-LIGHT HOLDER,0.04367373153500321,2010,0.9999999999999999,0.16666666666666669,0.0,0.9411764705882353,1.0,0.9313186813186815,0,0,0,-2.4492935982947064e-16,1.0,0.0,1.0,0.06358381502890173,0.0,0.006422607578676943,0.0,0.0,0.0,0.3194444444444444,0.1462252416427797,0.4069556617768255,0.20758237519632605,0.363598844407759,0.2951302301034302
2010-12-07,85123A,WHITE HANGING HEART T-LIGHT HOLDER,0.10340398201669877,2010,0.9999999999999999,0.2,0.16666666666666666,0.9411764705882353,1.0,0.9340659340659342,0,0,0,-2.4492935982947064e-16,1.0,0.7818314824680298,0.6234898018587336,0.04367373153500321,0.06358381502890173,0.0,0.0,0.0,0.0,0.35367063492063494,0.14080162400353574,0.45244766771056544,0.19988296968286942,0.41241672071222224,0.2841836007535301
2010-12-08,85123A,WHITE HANGING HEART T-LIGHT HOLDER,0.04784842646114322,2010,0.9999999999999999,0.23333333333333334,0.3333333333333333,0.9411764705882353,1.0,0.9368131868131869,0,0,0,-2.4492935982947064e-16,1.0,0.9749279121818236,-0.22252093395631434,0.10340398201669877,0.04367373153500321,0.06358381502890173,0.14161849710982657,0.0,0.0,0.28125,0.10850408907009941,0.4366655678259437,0.18655270141626792,0.3954808089145687,0.26523129260529876
2010-12-09,85123A,WHITE HANGING HEART T-LIGHT HOLDER,0.06037251123956326,2010,0.9999999999999999,0.26666666666666666,0.5,0.9411764705882353,1.0,0.9395604395604397,0,0,0,-2.4492935982947064e-16,1.0,0.43388373911755823,-0.900968867902419,0.04784842646114322,0.10340398201669877,0.04367373153500321,0.09922928709055875,0.0,0.0,0.25124007936507936,0.09456394940212495,0.43439005182865414,0.17454134825642875,0.39303893245288213,0.24815415193493015
2010-12-10,85123A,WHITE HANGING HEART T-LIGHT HOLDER,0.048811817597944764,2010,0.9999999999999999,0.3,0.6666666666666666,0.9411764705882353,1.0,0.9423076923076924,0,0,0,-2.4492935982947064e-16,1.0,-0.433883739117558,-0.9009688679024191,0.06037251123956326,0.04784842646114322,0.10340398201669877,0.006422607578676943,0.0,0.0,0.2839781746031746,0.08204000950642092,0.42426240316466135,0.16542695828247195,0.3821708625670657,0.23519576850896637
